[2026-03-31 11:55:57,272: INFO: _client: HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=stacked-summaries/stacked-samsum-1024 "HTTP/1.1 200 OK"]
[2026-03-31 11:55:57,603: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"]
[2026-03-31 11:55:57,935: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d?recursive=false&expand=false "HTTP/1.1 200 OK"]
[2026-03-31 11:55:58,716: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/dataset_infos.json "HTTP/1.1 404 Not Found"]
[2026-03-31 11:55:58,818: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 11:56:03,899: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 11:56:04,182: INFO: utils: created the path artifacts\data_ingestion]
[2026-03-31 11:56:04,481: INFO: utils: loaded the yaml file]
[2026-03-31 11:56:04,483: INFO: config: created the artifacts]
[2026-03-31 11:56:04,485: INFO: utils: created the path artifacts]
[2026-03-31 11:56:04,486: INFO: config: starting the validation----]
[2026-03-31 12:01:40,800: INFO: main: started data_ingestion]
[2026-03-31 12:01:40,805: INFO: utils: loaded the yaml file]
[2026-03-31 12:01:40,808: INFO: utils: created the path artifacts]
[2026-03-31 12:01:40,809: INFO: main: started the getting the artifacts]
[2026-03-31 12:01:40,811: INFO: main: check your artifacts folder all good]
[2026-03-31 12:01:41,453: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"]
[2026-03-31 12:01:41,535: INFO: _client: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/stacked-summaries/stacked-samsum-1024/b186aa62836c86d22be8fba79a15e546e2b79d7d/README.md "HTTP/1.1 200 OK"]
